#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDFF01035911.1_3     -          oskar_filtered.aligned.OSK_domain -            2.9e-23   86.2   0.1   4.6e-23   85.6   0.1   1.3   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype s4511_L_7876_0_a_64_5_l_1365, transcribed RNA sequence
GDFF01035912.1_1     -          oskar_filtered.aligned.OSK_domain -            3.8e-23   85.8   0.1   5.9e-23   85.2   0.1   1.3   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype s4512_L_7876_1_a_54_1_l_1540, transcribed RNA sequence
GDFF01032185.1_4     -          oskar_filtered.aligned.OSK_domain -              7e-15   58.9   0.5     7e-15   58.9   0.5   3.2   2   1   0   2   2   2   1 TSA: Centrotus cornutus breed wildtype s1136_L_1259_0_a_118_7_l_4377, transcribed RNA sequence
GDFF01032187.1_4     -          oskar_filtered.aligned.OSK_domain -            7.2e-15   58.8   0.6   7.2e-15   58.8   0.6   3.2   2   1   0   2   2   2   1 TSA: Centrotus cornutus breed wildtype s1138_L_1259_2_a_115_5_l_4099, transcribed RNA sequence
GDFF01019499.1_6     -          oskar_filtered.aligned.OSK_domain -            5.9e-07   33.0   0.3   6.7e-07   32.8   0.3   1.0   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype C67699_a_9_0_l_221, transcribed RNA sequence
GDFF01011758.1_3     -          oskar_filtered.aligned.OSK_domain -            2.9e-06   30.8   1.3     4e-06   30.3   1.3   1.2   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype C133915_a_6_0_l_862, transcribed RNA sequence
GDFF01037266.1_1     -          oskar_filtered.aligned.OSK_domain -            6.2e-06   29.7   0.0   9.3e-06   29.1   0.0   1.2   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype s5733_L_11653_1_a_28_5_l_2502, transcribed RNA sequence
GDFF01037265.1_3     -          oskar_filtered.aligned.OSK_domain -            6.2e-06   29.7   0.0   9.3e-06   29.1   0.0   1.2   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype s5732_L_11653_0_a_27_9_l_2504, transcribed RNA sequence
GDFF01009401.1_6     -          oskar_filtered.aligned.OSK_domain -             0.0018   21.6   0.0    0.0021   21.4   0.0   1.1   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype C126974_a_55_0_l_672, transcribed RNA sequence
GDFF01009063.1_4     -          oskar_filtered.aligned.OSK_domain -             0.0028   21.0   0.0    0.0034   20.8   0.0   1.1   1   0   0   1   1   1   1 TSA: Centrotus cornutus breed wildtype C125944_a_5_0_l_650, transcribed RNA sequence
GDFF01004989.1_1     -          oskar_filtered.aligned.OSK_domain -              0.012   19.0   1.3     0.014   18.7   1.3   1.2   1   0   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype C114234_a_7_0_l_467, transcribed RNA sequence
GDFF01000725.1_6     -          oskar_filtered.aligned.OSK_domain -              0.031   17.6   0.1      0.04   17.3   0.1   1.2   1   0   0   1   1   1   0 TSA: Centrotus cornutus breed wildtype C102127_a_3_0_l_356, transcribed RNA sequence
GDFF01040085.1_2     -          oskar_filtered.aligned.OSK_domain -              0.052   16.9   0.5     0.052   16.9   0.5   2.6   3   0   0   3   3   3   0 TSA: Centrotus cornutus breed wildtype s8278_L_37334_0_a_11_8_l_4351, transcribed RNA sequence
