#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCZE01066060.1_3     -          oskar_filtered.aligned.LOTUS_domain -            2.9e-22   83.5   0.0     1e-21   81.8   0.0   2.0   1   0   0   1   1   1   1 TSA: Melanoliarus placitus breed wildtype C426572_28_0, transcribed RNA sequence
GCZE01042479.1_6     -          oskar_filtered.aligned.LOTUS_domain -            1.5e-06   33.0   0.0     2e-06   32.6   0.0   1.2   1   0   0   1   1   1   1 TSA: Melanoliarus placitus breed wildtype C345485_2_0, transcribed RNA sequence
GCZE01053487.1_2     -          oskar_filtered.aligned.LOTUS_domain -            8.7e-06   30.6   0.9       0.5   15.3   0.1   2.2   1   1   0   2   2   2   2 TSA: Melanoliarus placitus breed wildtype C379729_4_0, transcribed RNA sequence
GCZE01049969.1_5     -          oskar_filtered.aligned.LOTUS_domain -            1.4e-05   30.0   0.1       6.5   11.7   0.0   3.1   1   1   2   3   3   3   2 TSA: Melanoliarus placitus breed wildtype C368223_2_0, transcribed RNA sequence
GCZE01015166.1_5     -          oskar_filtered.aligned.LOTUS_domain -            3.9e-05   28.5   0.0   4.2e-05   28.4   0.0   1.1   1   0   0   1   1   1   1 TSA: Melanoliarus placitus breed wildtype C269434_3_0, transcribed RNA sequence
GCZE01015166.1_6     -          oskar_filtered.aligned.LOTUS_domain -               0.54   15.2   0.0      0.78   14.7   0.0   1.4   1   1   0   1   1   1   0 TSA: Melanoliarus placitus breed wildtype C269434_3_0, transcribed RNA sequence
GCZE01079064.1_1     -          oskar_filtered.aligned.LOTUS_domain -               0.71   14.8   0.7       3.7   12.5   0.1   2.1   1   1   0   2   2   2   0 TSA: Melanoliarus placitus breed wildtype s5530_L_16962_0_3_5_LINEAR, transcribed RNA sequence
GCZE01067530.1_1     -          oskar_filtered.aligned.LOTUS_domain -                1.1   14.3   0.0       3.2   12.7   0.0   1.8   1   0   0   1   1   1   0 TSA: Melanoliarus placitus breed wildtype s11089_L_48420_0_7_0_LINEAR, transcribed RNA sequence
GCZE01046299.1_5     -          oskar_filtered.aligned.LOTUS_domain -                1.3   14.0   1.2       1.6   13.7   0.4   1.6   2   0   0   2   2   2   0 TSA: Melanoliarus placitus breed wildtype C356845_3_0, transcribed RNA sequence
GCZE01015341.1_6     -          oskar_filtered.aligned.LOTUS_domain -                2.2   13.3   0.0       2.3   13.2   0.0   1.1   1   0   0   1   1   1   0 TSA: Melanoliarus placitus breed wildtype C269894_5_0, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCZE01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCZE01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/V3/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCZE01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:00:42 2019
# [ok]
