#                                                                            --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                        accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------              -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCZA01055962.1_5     -          oskar_filtered.aligned.OSK_domain -            6.5e-24   89.4   2.0   1.7e-23   88.1   0.4   2.2   2   1   0   2   2   2   1 TSA: Philaenus spumarius breed wildtype C756605_4_0, transcribed RNA sequence
GCZA01036481.1_1     -          oskar_filtered.aligned.OSK_domain -            1.7e-09   42.4   0.1   3.4e-09   41.4   0.0   1.5   2   0   0   2   2   2   1 TSA: Philaenus spumarius breed wildtype C668842_3_0, transcribed RNA sequence
GCZA01063865.1_2     -          oskar_filtered.aligned.OSK_domain -            6.8e-05   27.4   4.3     0.011   20.2   0.3   2.1   2   0   0   2   2   2   2 TSA: Philaenus spumarius breed wildtype s15308_L_31921_2_11_6_COMPLEX, transcribed RNA sequence
GCZA01063863.1_2     -          oskar_filtered.aligned.OSK_domain -              0.019   19.5  10.1     0.044   18.2   0.4   2.7   3   0   0   3   3   3   0 TSA: Philaenus spumarius breed wildtype s15306_L_31921_0_16_4_COMPLEX, transcribed RNA sequence
GCZA01061795.1_1     -          oskar_filtered.aligned.OSK_domain -              0.067   17.7   0.8     0.067   17.7   0.8   2.1   1   1   1   2   2   2   0 TSA: Philaenus spumarius breed wildtype s13445_L_26515_1_39_0_FORK, transcribed RNA sequence
GCZA01059558.1_3     -          oskar_filtered.aligned.OSK_domain -               0.17   16.4   1.9      0.18   16.3   1.9   1.0   1   0   0   1   1   1   0 TSA: Philaenus spumarius breed wildtype s11430_L_21317_0_5_5_LINEAR, transcribed RNA sequence
GCZA01029865.1_1     -          oskar_filtered.aligned.OSK_domain -               0.38   15.2   0.0      0.41   15.1   0.0   1.0   1   0   0   1   1   1   0 TSA: Philaenus spumarius breed wildtype C643742_3_0, transcribed RNA sequence
GCZA01005326.1_1     -          oskar_filtered.aligned.OSK_domain -               0.56   14.7   0.0      0.71   14.3   0.0   1.2   1   0   0   1   1   1   0 TSA: Philaenus spumarius breed wildtype C560373_2_0, transcribed RNA sequence
GCZA01002542.1_4     -          oskar_filtered.aligned.OSK_domain -                1.2   13.5   0.2       1.2   13.5   0.2   1.0   1   0   0   1   1   1   0 TSA: Philaenus spumarius breed wildtype C551309_6_0, transcribed RNA sequence
GCZA01019405.1_3     -          oskar_filtered.aligned.OSK_domain -                1.3   13.5   0.0       1.6   13.1   0.0   1.1   1   0   0   1   1   1   0 TSA: Philaenus spumarius breed wildtype C607080_3_0, transcribed RNA sequence
GCZA01028813.1_6     -          oskar_filtered.aligned.OSK_domain -                1.5   13.3   0.0       1.6   13.1   0.0   1.0   1   0   0   1   1   1   0 TSA: Philaenus spumarius breed wildtype C640088_4_0, transcribed RNA sequence
GCZA01013606.1_6     -          oskar_filtered.aligned.OSK_domain -                2.6   12.4   0.1       2.7   12.4   0.1   1.1   1   0   0   1   1   1   0 TSA: Philaenus spumarius breed wildtype C587442_2_0, transcribed RNA sequence
GCZA01075326.1_5     -          oskar_filtered.aligned.OSK_domain -                  3   12.3   1.2       5.6   11.4   0.2   2.0   2   0   0   2   2   2   0 TSA: Philaenus spumarius breed wildtype s25641_L_77451_0_73_4_LINEAR, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCZA01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCZA01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/V3/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCZA01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Mon Nov 25 13:00:08 2019
# [ok]
