#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name             accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------   -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
g8764.t1             -          oskar_filtered.aligned -                  0 1299.6   4.0         0 1299.5   4.0   1.0   1   0   0   1   1   1   1 -
g2317.t1             -          oskar_filtered.aligned -                  0 1260.2   0.3         0 1259.9   0.3   1.1   1   0   0   1   1   1   1 -
g4469.t1             -          oskar_filtered.aligned -                  0 1251.8   0.2         0 1251.6   0.2   1.0   1   0   0   1   1   1   1 -
g6005.t1             -          oskar_filtered.aligned -                  0 1244.1   2.3         0 1243.9   2.3   1.0   1   0   0   1   1   1   1 -
g16848.t1            -          oskar_filtered.aligned -                  0 1238.9   1.1         0 1238.7   1.1   1.0   1   0   0   1   1   1   1 -
g9861.t1             -          oskar_filtered.aligned -                  0 1229.5   0.2         0 1229.3   0.2   1.0   1   0   0   1   1   1   1 -
g12827.t1            -          oskar_filtered.aligned -                  0 1203.0   2.5         0 1202.8   2.5   1.0   1   0   0   1   1   1   1 -
g10894.t1            -          oskar_filtered.aligned -                  0 1180.7   0.0         0 1180.4   0.0   1.0   1   0   0   1   1   1   1 -
g9342.t1             -          oskar_filtered.aligned -                  0 1178.2   0.1         0 1177.9   0.1   1.1   1   0   0   1   1   1   1 -
g8692.t1             -          oskar_filtered.aligned -                  0 1155.1   1.9         0 1155.0   1.9   1.0   1   0   0   1   1   1   1 -
g6827.t1             -          oskar_filtered.aligned -                  0 1055.5   0.0         0 1055.2   0.0   1.0   1   0   0   1   1   1   1 -
g6665.t1             -          oskar_filtered.aligned -                  0 1050.2   0.1         0 1050.0   0.1   1.0   1   0   0   1   1   1   1 -
g542.t1              -          oskar_filtered.aligned -                  0 1040.8   0.9         0 1040.5   0.9   1.1   1   0   0   1   1   1   1 -
g4964.t1             -          oskar_filtered.aligned -           3.5e-296  977.9   6.6  4.1e-296  977.7   6.6   1.1   1   0   0   1   1   1   1 -
g13566.t1            -          oskar_filtered.aligned -           1.4e-281  929.6  15.9  1.5e-281  929.5  15.9   1.0   1   0   0   1   1   1   1 -
g6282.t1             -          oskar_filtered.aligned -           1.4e-275  909.8  12.4  1.5e-275  909.6  12.4   1.0   1   0   0   1   1   1   1 -
g551.t1              -          oskar_filtered.aligned -           1.3e-274  906.5   0.1  1.5e-274  906.3   0.1   1.1   1   0   0   1   1   1   1 -
g10514.t1            -          oskar_filtered.aligned -           9.8e-273  900.3   8.0  1.1e-272  900.1   8.0   1.0   1   0   0   1   1   1   1 -
g4317.t1             -          oskar_filtered.aligned -           6.5e-272  897.6   8.3  7.3e-272  897.4   8.3   1.0   1   0   0   1   1   1   1 -
g1694.t1             -          oskar_filtered.aligned -           1.9e-269  889.4  14.9  2.1e-269  889.3  14.9   1.0   1   0   0   1   1   1   1 -
g1452.t1             -          oskar_filtered.aligned -           3.1e-264  872.2  10.5  3.5e-264  872.0  10.5   1.0   1   0   0   1   1   1   1 -
g8280.t1             -          oskar_filtered.aligned -           1.5e-253  836.8   6.2  1.9e-253  836.5   6.2   1.0   1   0   0   1   1   1   1 -
g14108.t1            -          oskar_filtered.aligned -           1.1e-249  824.0  11.8  1.2e-249  823.9  11.8   1.0   1   0   0   1   1   1   1 -
g7940.t1             -          oskar_filtered.aligned -           4.3e-247  815.4  13.0  4.8e-247  815.3  13.0   1.0   1   0   0   1   1   1   1 -
g2421.t1             -          oskar_filtered.aligned -           9.4e-244  804.4  14.4  1.2e-243  804.1  14.4   1.0   1   0   0   1   1   1   1 -
g73831.t1            -          oskar_filtered.aligned -           7.3e-237  781.6  13.0  8.2e-237  781.4  13.0   1.0   1   0   0   1   1   1   1 -
g13723.t1            -          oskar_filtered.aligned -           1.7e-233  770.4  10.6    2e-233  770.2  10.6   1.0   1   0   0   1   1   1   1 -
g2374.t1             -          oskar_filtered.aligned -           2.1e-225  743.6   0.0  3.2e-223  736.4   0.0   2.0   1   1   0   1   1   1   1 -
g2989.t1             -          oskar_filtered.aligned -           1.1e-211  698.2   0.0  1.9e-197  651.0   0.0   2.1   1   1   1   2   2   2   2 -
g2573.t1             -          oskar_filtered.aligned -           1.1e-211  698.2   0.0  1.9e-197  651.0   0.0   2.1   1   1   1   2   2   2   2 -
g1756.t1             -          oskar_filtered.aligned -           5.6e-209  689.2  26.3    1e-208  688.4  26.3   1.4   1   1   0   1   1   1   1 -
g757.t1              -          oskar_filtered.aligned -           9.5e-209  688.5  25.3  1.8e-208  687.6  25.3   1.4   1   1   0   1   1   1   1 -
g989.t1              -          oskar_filtered.aligned -           3.2e-202  666.9   8.4  3.5e-202  666.7   8.4   1.0   1   0   0   1   1   1   1 -
g510.t1              -          oskar_filtered.aligned -           1.2e-200  661.7  33.9  2.6e-199  657.3  33.9   2.0   1   1   0   1   1   1   1 -
g7457.t1             -          oskar_filtered.aligned -           1.1e-199  658.4  19.3  1.3e-199  658.2  19.3   1.0   1   0   0   1   1   1   1 -
g2982.t1             -          oskar_filtered.aligned -           1.5e-178  588.6  14.7  1.6e-178  588.4  14.7   1.0   1   0   0   1   1   1   1 -
g10104.t1            -          oskar_filtered.aligned -           4.7e-178  586.9  14.5  5.3e-178  586.7  14.5   1.0   1   0   0   1   1   1   1 -
g5683.t1             -          oskar_filtered.aligned -           2.5e-177  584.5  15.2  2.8e-177  584.3  15.2   1.0   1   0   0   1   1   1   1 -
g20954.t1            -          oskar_filtered.aligned -           2.7e-177  584.3  25.5  3.5e-177  584.0  25.5   1.1   1   0   0   1   1   1   1 -
g18460.t1            -          oskar_filtered.aligned -           4.2e-177  583.7  26.1  5.3e-177  583.4  26.1   1.1   1   0   0   1   1   1   1 -
g31301.t1            -          oskar_filtered.aligned -           4.8e-146  480.9  13.1  5.4e-146  480.7  13.1   1.0   1   0   0   1   1   1   1 -
g8115.t1             -          oskar_filtered.aligned -           1.2e-143  472.9  15.4  1.4e-143  472.7  15.4   1.0   1   0   0   1   1   1   1 -
g18271.t1            -          oskar_filtered.aligned -           5.1e-143  470.9  14.2  6.1e-143  470.6  14.2   1.0   1   0   0   1   1   1   1 -
g19924.t1            -          oskar_filtered.aligned -           1.5e-142  469.3  14.4  1.9e-142  469.0  14.4   1.0   1   0   0   1   1   1   1 -
g21505.t1            -          oskar_filtered.aligned -           3.6e-142  468.1  14.3  4.3e-142  467.8  14.3   1.0   1   0   0   1   1   1   1 -
g22205.t1            -          oskar_filtered.aligned -           8.4e-142  466.8  14.8    1e-141  466.6  14.8   1.0   1   0   0   1   1   1   1 -
g20142.t1            -          oskar_filtered.aligned -           1.7e-141  465.8  14.3    2e-141  465.6  14.3   1.0   1   0   0   1   1   1   1 -
g21709.t1            -          oskar_filtered.aligned -           1.7e-141  465.8  14.3    2e-141  465.6  14.3   1.0   1   0   0   1   1   1   1 -
g15189.t1            -          oskar_filtered.aligned -           2.4e-141  465.4  14.0  2.8e-141  465.1  14.0   1.0   1   0   0   1   1   1   1 -
g21322.t1            -          oskar_filtered.aligned -           3.1e-140  461.7  15.7  1.6e-127  419.5  14.1   2.4   1   1   1   2   2   2   2 -
g1587.t1             -          oskar_filtered.aligned -           3.3e-137  451.6   8.0  6.5e-137  450.7   8.0   1.4   1   1   0   1   1   1   1 -
g14875.t1            -          oskar_filtered.aligned -           5.3e-129  424.5  21.6  5.8e-129  424.3  21.6   1.0   1   0   0   1   1   1   1 -
g14693.t1            -          oskar_filtered.aligned -           4.4e-127  418.1  12.1  6.5e-127  417.6  12.1   1.2   1   0   0   1   1   1   1 -
