#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCXX01057643.1_6     -          LOTUS_CONSENSUS      -            2.2e-19   73.9   0.2   3.3e-18   70.2   0.1   2.8   2   0   0   2   2   2   1 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s23899_L_81109_0_10_8_LINEAR, transcribed RNA sequence
GCXX01042184.1_1     -          LOTUS_CONSENSUS      -            6.2e-13   53.3   0.0     0.016   19.9   0.0   6.5   2   1   5   7   7   6   3 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C357377_10_0, transcribed RNA sequence
GCXX01029878.1_4     -          LOTUS_CONSENSUS      -            6.4e-12   50.0   0.0   7.7e-12   49.8   0.0   1.1   1   0   0   1   1   1   1 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C290849_4_0, transcribed RNA sequence
GCXX01019752.1_5     -          LOTUS_CONSENSUS      -            0.00032   25.3   0.0   0.00039   25.0   0.0   1.3   1   0   0   1   1   1   1 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C252244_4_0, transcribed RNA sequence
GCXX01015366.1_4     -          LOTUS_CONSENSUS      -            0.00042   24.9   0.0   0.00046   24.8   0.0   1.1   1   0   0   1   1   1   1 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C236924_3_0, transcribed RNA sequence
GCXX01046849.1_4     -          LOTUS_CONSENSUS      -               0.18   16.5   0.0       0.3   15.8   0.0   1.3   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s14163_L_35099_0_3_8_LINEAR, transcribed RNA sequence
GCXX01039577.1_4     -          LOTUS_CONSENSUS      -               0.23   16.2   0.0      0.59   14.8   0.0   1.7   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C340741_10_0, transcribed RNA sequence
GCXX01049121.1_3     -          LOTUS_CONSENSUS      -                0.3   15.8   0.1       2.1   13.1   0.0   2.1   1   1   0   2   2   2   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s16216_L_43031_0_12_4_LINEAR, transcribed RNA sequence
GCXX01027589.1_5     -          LOTUS_CONSENSUS      -                0.4   15.4   0.5      0.67   14.7   0.3   1.5   1   1   1   2   2   2   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C281652_6_0, transcribed RNA sequence
GCXX01063307.1_5     -          LOTUS_CONSENSUS      -               0.53   15.0   0.1         6   11.6   0.0   2.3   2   0   0   2   2   2   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s5641_L_10768_0_15_0_LINEAR, transcribed RNA sequence
GCXX01024341.1_3     -          LOTUS_CONSENSUS      -               0.62   14.8   0.9       1.8   13.3   0.9   1.7   1   1   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C269076_2_0, transcribed RNA sequence
GCXX01052282.1_6     -          LOTUS_CONSENSUS      -               0.81   14.4   0.1       1.4   13.6   0.1   1.3   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s19064_L_55465_0_2_3_LINEAR, transcribed RNA sequence
GCXX01053578.1_1     -          LOTUS_CONSENSUS      -                1.7   13.4   2.8   1.3e+02    7.3   2.8   2.5   1   1   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s20231_L_61199_0_2_0_LINEAR, transcribed RNA sequence
GCXX01014562.1_4     -          LOTUS_CONSENSUS      -                1.7   13.4   0.1       2.6   12.8   0.1   1.5   1   1   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C234174_2_0, transcribed RNA sequence
GCXX01011053.1_1     -          LOTUS_CONSENSUS      -                  2   13.2   0.0       3.2   12.5   0.0   1.4   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C222472_3_0, transcribed RNA sequence
GCXX01041144.1_3     -          LOTUS_CONSENSUS      -                3.5   12.4   0.7       8.7   11.1   0.7   1.7   1   0   0   1   1   1   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus C350937_16_0, transcribed RNA sequence
GCXX01064297.1_6     -          LOTUS_CONSENSUS      -                7.5   11.3   1.7     3e+02    6.2   0.0   3.4   3   1   1   4   4   4   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s6533_L_12958_1_53_6_COMPLEX, transcribed RNA sequence
GCXX01064296.1_4     -          LOTUS_CONSENSUS      -                9.1   11.1   2.0   3.2e+02    6.1   0.0   3.4   3   1   1   4   4   4   0 TSA: Largus californicus breed wildtype isolate LrspL1 - Largus californicus s6532_L_12958_0_58_5_COMPLEX, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXX01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCXX01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCXX01.1.fasta 
