#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GGPJ01274003.1_6     -          LOTUS_CONSENSUS      -            1.8e-18   73.1   4.2   1.1e-08   41.7   0.0   4.6   3   1   1   4   4   4   3 TSA: Nezara viridula N_viridula_DNassembly_346399_c3_g1_i2, transcribed RNA sequence
GGPJ01269500.1_2     -          LOTUS_CONSENSUS      -            6.8e-18   71.2   0.3   4.3e-17   68.6   0.3   2.5   2   0   0   2   2   2   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i3, transcribed RNA sequence
GGPJ01269501.1_2     -          LOTUS_CONSENSUS      -            1.2e-17   70.5   0.3   3.9e-17   68.8   0.3   2.0   1   0   0   1   1   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i4, transcribed RNA sequence
GGPJ01269504.1_2     -          LOTUS_CONSENSUS      -            1.7e-17   70.0   0.3   3.9e-17   68.8   0.3   1.7   1   0   0   1   1   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i7, transcribed RNA sequence
GGPJ01269498.1_2     -          LOTUS_CONSENSUS      -            1.9e-17   69.8   0.3   4.3e-17   68.6   0.3   1.6   1   0   0   1   1   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i1, transcribed RNA sequence
GGPJ01269499.1_2     -          LOTUS_CONSENSUS      -            7.3e-10   45.5   0.1   2.2e-09   43.9   0.1   1.8   1   0   0   1   1   1   1 TSA: Nezara viridula N_viridula_DNassembly_346028_c5_g5_i2, transcribed RNA sequence
GGPJ01191095.1_4     -          LOTUS_CONSENSUS      -            1.5e-08   41.3   0.0      0.26   18.0   0.0   4.7   2   2   1   3   3   3   3 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i11, transcribed RNA sequence
GGPJ01191106.1_4     -          LOTUS_CONSENSUS      -            1.5e-08   41.2   0.0      0.26   18.0   0.0   4.7   2   2   1   3   3   3   2 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i6, transcribed RNA sequence
GGPJ01191109.1_4     -          LOTUS_CONSENSUS      -            1.9e-08   40.9   0.0       0.3   17.9   0.0   4.7   2   2   1   4   4   4   2 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i9, transcribed RNA sequence
GGPJ01191101.1_4     -          LOTUS_CONSENSUS      -              2e-08   40.8   0.0      0.28   17.9   0.0   4.7   2   2   2   4   4   4   2 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i17, transcribed RNA sequence
GGPJ01191107.1_5     -          LOTUS_CONSENSUS      -            5.9e-07   36.1   0.0        43   10.9   0.0   4.9   3   2   2   5   5   4   3 TSA: Nezara viridula N_viridula_DNassembly_339539_c1_g3_i7, transcribed RNA sequence
