#                                                                              --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                          accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------                -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
IACV01084416.1_5     -          oskar_filtered.aligned.LOTUS_domain -            1.5e-14   59.4   0.1   1.5e-12   53.0   0.0   3.5   3   0   0   3   3   3   1 TSA: Nilaparvata lugens RNA, comp6569_c0_seq1, transcribed RNA sequence
IACV01050192.1_1     -          oskar_filtered.aligned.LOTUS_domain -            5.2e-14   57.6   0.0   2.4e-13   55.5   0.0   2.0   2   0   0   2   2   2   1 TSA: Nilaparvata lugens RNA, comp9771_c0_seq2, transcribed RNA sequence
IACV01050191.1_1     -          oskar_filtered.aligned.LOTUS_domain -              7e-14   57.2   0.0   3.2e-13   55.1   0.0   2.0   2   0   0   2   2   2   1 TSA: Nilaparvata lugens RNA, comp9771_c0_seq1, transcribed RNA sequence
IACV01053258.1_5     -          oskar_filtered.aligned.LOTUS_domain -            0.00044   25.8   0.0       1.8   14.2   0.0   4.5   2   1   3   5   5   5   1 TSA: Nilaparvata lugens RNA, comp9070_c0_seq2, transcribed RNA sequence
IACV01053257.1_4     -          oskar_filtered.aligned.LOTUS_domain -            0.00053   25.5   0.0       1.9   14.1   0.0   4.5   2   1   3   5   5   5   1 TSA: Nilaparvata lugens RNA, comp9070_c0_seq1, transcribed RNA sequence
IACV01078639.1_1     -          oskar_filtered.aligned.LOTUS_domain -              0.019   20.5   0.0     0.027   20.0   0.0   1.2   1   0   0   1   1   1   0 TSA: Nilaparvata lugens RNA, comp6796_c0_seq16, transcribed RNA sequence
IACV01029054.1_5     -          oskar_filtered.aligned.LOTUS_domain -              0.073   18.6   0.5      0.12   18.0   0.5   1.4   1   0   0   1   1   1   0 TSA: Nilaparvata lugens RNA, comp18802_c0_seq6, transcribed RNA sequence
IACV01029065.1_5     -          oskar_filtered.aligned.LOTUS_domain -               0.09   18.3   0.3      0.11   18.0   0.3   1.3   1   0   0   1   1   1   0 TSA: Nilaparvata lugens RNA, comp18802_c0_seq17, transcribed RNA sequence
IACV01008519.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.35   16.4   0.1      0.57   15.8   0.0   1.3   1   1   0   1   1   1   0 TSA: Nilaparvata lugens RNA, comp2493_c2_seq2, transcribed RNA sequence
IACV01116230.1_6     -          oskar_filtered.aligned.LOTUS_domain -               0.79   15.3   0.1       1.4   14.5   0.1   1.4   1   0   0   1   1   1   0 TSA: Nilaparvata lugens RNA, comp49021_c0_seq1, transcribed RNA sequence
IACV01096826.1_4     -          oskar_filtered.aligned.LOTUS_domain -               0.82   15.3   0.1       1.4   14.5   0.1   1.4   1   0   0   1   1   1   0 TSA: Nilaparvata lugens RNA, comp28268_c0_seq1, transcribed RNA sequence
