#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GDYK01051721.1_1     -          OSK_CONSENSUS        -              3e-35  125.7   0.0   7.2e-35  124.5   0.0   1.6   1   0   0   1   1   1   1 TSA: Loboptera decipiens breed wildtype C315435_a_9_0_l_1890, transcribed RNA sequence
GDYK01060781.1_6     -          OSK_CONSENSUS        -            5.1e-28  102.2   0.2   9.1e-28  101.4   0.0   1.5   2   0   0   2   2   2   1 TSA: Loboptera decipiens breed wildtype s17111_L_58398_1_a_13_8_l_1472, transcribed RNA sequence
GDYK01047888.1_5     -          OSK_CONSENSUS        -               0.08   17.1   0.1      0.15   16.2   0.1   1.4   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype C302198_a_6_0_l_1088, transcribed RNA sequence
GDYK01045037.1_6     -          OSK_CONSENSUS        -               0.11   16.6   0.0      0.18   15.9   0.0   1.3   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype C292003_a_5_0_l_846, transcribed RNA sequence
GDYK01044240.1_6     -          OSK_CONSENSUS        -               0.24   15.5   0.8      0.89   13.7   0.1   2.0   2   0   0   2   2   2   0 TSA: Loboptera decipiens breed wildtype C288958_a_7_0_l_795, transcribed RNA sequence
GDYK01066727.1_3     -          OSK_CONSENSUS        -               0.58   14.3   0.2       1.4   13.0   0.0   1.8   2   0   0   2   2   2   0 TSA: Loboptera decipiens breed wildtype s4851_L_6555_0_a_4_6_l_583, transcribed RNA sequence
GDYK01068019.1_2     -          OSK_CONSENSUS        -               0.61   14.2   0.0      0.66   14.1   0.0   1.1   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype s6032_L_8493_0_a_3_5_l_276, transcribed RNA sequence
GDYK01015453.1_6     -          OSK_CONSENSUS        -               0.67   14.1   0.1      0.84   13.8   0.1   1.1   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype C194611_a_3_0_l_269, transcribed RNA sequence
GDYK01052627.1_5     -          OSK_CONSENSUS        -               0.68   14.0   0.2       1.4   13.0   0.2   1.5   1   0   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype C318397_a_9_0_l_2546, transcribed RNA sequence
GDYK01063413.1_1     -          OSK_CONSENSUS        -               0.87   13.7   0.1       1.9   12.6   0.1   1.5   1   1   0   1   1   1   0 TSA: Loboptera decipiens breed wildtype s19510_L_80360_0_a_9_0_l_2071, transcribed RNA sequence
GDYK01055369.1_1     -          OSK_CONSENSUS        -                3.6   11.7   2.0       9.6   10.3   0.4   2.1   2   0   0   2   2   2   0 TSA: Loboptera decipiens breed wildtype s12170_L_26654_0_a_7_1_l_765, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/OSK_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDYK01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GDYK01_osk_search.txt --cpu 8 ../Data/Oskar_hmm/OSK_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GDYK01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:48:00 2019
# [ok]
