#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
GCYZ01038441.1_2     -          LOTUS_CONSENSUS      -            6.4e-18   68.7   1.1   1.6e-17   67.4   0.0   2.2   2   0   0   2   2   2   1 TSA: Trichocorixa calva breed wildtype s19781_L_60855_0_27_3_LINEAR, transcribed RNA sequence
GCYZ01020870.1_4     -          LOTUS_CONSENSUS      -            4.6e-13   53.2   0.0   6.9e-13   52.6   0.0   1.2   1   0   0   1   1   1   1 TSA: Trichocorixa calva breed wildtype C354493_4_0, transcribed RNA sequence
GCYZ01043839.1_5     -          LOTUS_CONSENSUS      -              2e-08   38.3   0.0        12   10.2   0.0   5.4   3   1   2   5   5   5   3 TSA: Trichocorixa calva breed wildtype s6758_L_11189_2_33_4_COMPLEX, transcribed RNA sequence
GCYZ01043837.1_5     -          LOTUS_CONSENSUS      -            4.5e-08   37.2   0.0        17    9.7   0.0   6.0   4   1   2   6   6   6   3 TSA: Trichocorixa calva breed wildtype s6756_L_11189_0_33_8_COMPLEX, transcribed RNA sequence
GCYZ01043838.1_5     -          LOTUS_CONSENSUS      -            9.8e-08   36.1   0.0        18    9.6   0.0   5.5   3   1   2   5   5   5   3 TSA: Trichocorixa calva breed wildtype s6757_L_11189_1_33_2_COMPLEX, transcribed RNA sequence
GCYZ01021295.1_3     -          LOTUS_CONSENSUS      -            3.6e-07   34.3   0.0     0.019   19.1   0.0   2.1   2   0   0   2   2   2   2 TSA: Trichocorixa calva breed wildtype C356711_4_0, transcribed RNA sequence
GCYZ01029604.1_5     -          LOTUS_CONSENSUS      -              0.032   18.4   0.0      0.04   18.1   0.0   1.2   1   0   0   1   1   1   0 TSA: Trichocorixa calva breed wildtype s11820_L_24701_0_5_0_LINEAR, transcribed RNA sequence
GCYZ01009501.1_3     -          LOTUS_CONSENSUS      -               0.38   15.0   0.5      0.44   14.8   0.5   1.1   1   0   0   1   1   1   0 TSA: Trichocorixa calva breed wildtype C305887_3_0, transcribed RNA sequence
GCYZ01029324.1_4     -          LOTUS_CONSENSUS      -                1.2   13.4   0.3       2.1   12.6   0.3   1.5   1   0   0   1   1   1   0 TSA: Trichocorixa calva breed wildtype s11569_L_23766_1_7_9_FORK, transcribed RNA sequence
GCYZ01018543.1_6     -          LOTUS_CONSENSUS      -                1.4   13.2   3.5       1.7   12.9   3.5   1.1   1   0   0   1   1   1   0 TSA: Trichocorixa calva breed wildtype C343409_3_0, transcribed RNA sequence
GCYZ01040933.1_5     -          LOTUS_CONSENSUS      -                  2   12.7   0.1        30    8.9   0.1   2.2   1   1   0   1   1   1   0 TSA: Trichocorixa calva breed wildtype s4139_L_6078_1_3_4_FORK, transcribed RNA sequence
GCYZ01040360.1_3     -          LOTUS_CONSENSUS      -                2.1   12.6   0.1       3.4   11.9   0.1   1.3   1   0   0   1   1   1   0 TSA: Trichocorixa calva breed wildtype s3622_L_5155_1_54_3_COMPLEX, transcribed RNA sequence
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm
# Target file:     /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCYZ01.1.fasta
# Option settings: hmmsearch --tblout /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_RESULT/GCYZ01_lotus_search.txt --cpu 8 ../Data/Oskar_hmm/LOTUS_CONSENSUS.hmm /media/savvy/DATA2/savvy/EXTAVOUR/SOURCES/TSA/TSA_PROTEIN/translated_GCYZ01.1.fasta 
# Current dir:     /media/savvy/DATA2/savvy/EXTAVOUR/Oskar_Orthologs/01_Oskar_identification
# Date:            Sun Oct  6 00:46:03 2019
# [ok]
